sampled_for_label,issue_id,issue_number,created_at,title,body_preview,labels,url
Enhancement,8556990,1390,2012-11-21T20:16:26Z,MDS takes proximity matrix as input,"It seems that the MDS PR was in parallel to my ""pairwise"" PR. I didn't realize that MDS takes a distance matrix as input. It is now the only algorithm in sklearn that does that. I would suggest using some standard distance instead. This breaks backward compatibility but I'd really like to have some ...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/1390
Enhancement,572946740,16592,2020-02-28T19:06:01Z,Reuse cache-aligned euclidean_distances in distance trees,I'm thinking it might be worthwhile to try to replace the euclidean distances used in kd-tree and ball-tree here: https://github.com/scikit-learn/scikit-learn/blob/master/sklearn/neighbors/_dist_metrics.pxd#L18  With the cache-aligned one that @jeremiedbb wrote for kmeans: https://github.com/scikit-...,Enhancement; module:neighbors,https://github.com/scikit-learn/scikit-learn/issues/16592
Enhancement,293803279,10573,2018-02-02T08:00:53Z,"In macro-averaged multiclass precision, and recall, the default set of labels should come only from the target outputs (y_true) not from the predicted outputs (y_pred)","#### Description In macro-averaged multiclass precision, and recall, the default set of labels should come only from the target outputs (y_true) not from the predicted outputs (y_pred).  The target outputs come from the test set. I believe it is a solid assumption is that the classes we are interest...",Enhancement; module:metrics,https://github.com/scikit-learn/scikit-learn/issues/10573
Enhancement,4591000,857,2012-05-15T19:37:08Z,Reduce example plot time,Building the docs including figures takes FOR EVER.,Easy; Enhancement,https://github.com/scikit-learn/scikit-learn/issues/857
Enhancement,4444660,835,2012-05-06T17:40:10Z,import all useful assertions in sklearn.utils.testing,"When writing tests, I am a bit tired of always having to figure out where the assertions I need are (some are in numpy, others are in nose). So I would like to import all useful assertions that we commonly use in `sklearn.utils.testing`. This way, we should be able to do `from sklearn.utils.testing ...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/835
Enhancement,8989312,1446,2012-12-04T16:18:50Z,Implement n_jobs in multiclass estimators,The training of all estimators in the multiclass module is embarrassingly parallel.,Easy; Enhancement,https://github.com/scikit-learn/scikit-learn/issues/1446
Enhancement,38610705,3481,2014-07-24T09:14:57Z,loss function name consistency in gradient boosting,"It would be nice if the `loss` option in gradient boosting could be more consistent with the one in SGD. Rather than deprecating names in gradient boosting, I suggest adding aliases.",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/3481
Enhancement,51641759,3956,2014-12-11T03:29:56Z,Pipeline doesn't work with Label Encoder,"I've found that I cannot use pipelines if I wish to use the label encoder. In the following I wish to build a pipeline that first encodes the label and then constructs a one-hot encoding from that labelling.   ``` from sklearn.preprocessing import  OneHotEncoder, LabelEncoder from sklearn.pipeline i...",Enhancement; API,https://github.com/scikit-learn/scikit-learn/issues/3956
Enhancement,388246185,12730,2018-12-06T14:47:51Z,Add paired test for cross-validation,"It would be nice to add error bars for grid-search results. Right now I think we're showing std over folds, which is not the right thing (there's a nice talk & package by Max Kuhn about it, also mentioned in todays NIPS invited talk). We should implement a paired test to have a better measure of unc...",Enhancement; Moderate; Sprint; help wanted,https://github.com/scikit-learn/scikit-learn/issues/12730
Enhancement,702026883,18403,2020-09-15T15:20:58Z,Upgrade DictVectorizer to use 64 bit indices instead of 32 bit,"#### Describe the workflow you want to enable Currently, in DictVectorizer, the _transform function is limited to 32 bit indices, meaning that there is a limit of ~2B rows/cols in the resultant matrix.   This issue seeks to enable using DictVectorizer on larger datasets by increasing this to work wi...",Enhancement; module:feature_extraction,https://github.com/scikit-learn/scikit-learn/issues/18403
Enhancement,4156162,779,2012-04-17T16:15:11Z,scale_params for linear models,"As discussed on the mailing list, the way the regularization parameter is scaled in linear models can be fragile to some simple variations of the data, such as when the number of training samples vary. This is the case of libsvm, for which we tried to come up with a rescaling of the C parameter, tha...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/779
Enhancement,516685328,15474,2019-11-02T18:46:35Z,Support for float32 in `KDTree` and `BallTree`,"#### Description Relates to #7059 and #11000.   The conversion from float32 to float64 in Isomap leads to cython class BinaryTree   #### Steps/Code to Reproduce Debug example:  ```python from sklearn.datasets import load_digits from sklearn.manifold import Isomap X, _ = load_digits(return_X_y=True) ...",Enhancement; help wanted; module:tree; cython; float32,https://github.com/scikit-learn/scikit-learn/issues/15474
Enhancement,29601452,2972,2014-03-17T21:37:51Z,Trees incompatible between 32bit and 64bit version,I'm not sure if this a known issue but I think trees build on 64bit can not be unpickled on 32bit. How hard would it be to allow that? I think the problem is that `Size_t` is different between the two platforms.,Enhancement,https://github.com/scikit-learn/scikit-learn/issues/2972
Enhancement,3042079715,31315,2025-05-06T09:05:13Z,SGDRegressor is not inheriting from LinearModel,"### Describe the bug  I wanted to rely on the base class [LinearModel](https://github.com/scikit-learn/scikit-learn/blob/main/sklearn/linear_model/_base.py#L267) to identify linear models, but I found out that [SGDRegressor](https://github.com/scikit-learn/scikit-learn/blob/main/sklearn/linear_model...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/31315
Enhancement,1081608694,21994,2021-12-15T23:27:25Z,Release highlights icon in sphinx is misordered,"### Describe the issue linked to the documentation  https://scikit-learn.org/dev/auto_examples/index.html  <img width=""757"" alt=""Screen Shot 2021-12-15 at 6 23 42 PM"" src=""https://user-images.githubusercontent.com/2507232/146280380-75aa267e-8a61-42a9-8b9c-8bac4ce8f1c9.png"">   ### Suggest a potential...",Documentation; Enhancement,https://github.com/scikit-learn/scikit-learn/issues/21994
Enhancement,2286032683,28978,2024-05-08T16:51:30Z,Add support for Python 3.13 free-threaded build,I'm currently working on adding support for the Python 3.13 free-threaded build to projects in the scientific python ecosystem. We are tracking this work at https://github.com/Quansight-Labs/free-threaded-compatibility. Right now we're focusing on projects relatively low in the stack. scikit-learn i...,Enhancement; Build / CI; free-threading,https://github.com/scikit-learn/scikit-learn/issues/28978
Enhancement,288394551,10470,2018-01-14T09:24:15Z,FeatureHasher cant return order of found feature_names,"It would be nice if the `FeatureHasher` would be able to return order of found `feature_names` in the given dicts, so you know which column belongs to which feature, just like the `DictVectorizer` does.  ```py from sklearn.feature_extraction import FeatureHasher h = FeatureHasher(n_features=4) D = [...",Enhancement; module:feature_extraction,https://github.com/scikit-learn/scikit-learn/issues/10470
Enhancement,39957738,3547,2014-08-11T13:27:33Z,ENH: Add parameter pmax that is present in glmnet,"Glmnet has a parameter called `pmax` that limits the non zero coefficients, which would help a lot in the sparse case with l1 norm. I was wondering if we needed to add this parameter to ElasticNet in sklearn.",Enhancement; module:linear_model,https://github.com/scikit-learn/scikit-learn/issues/3547
Enhancement,332405745,11259,2018-06-14T13:34:49Z,MICE/Multiple Imputation branch,"This discussion bring some insights about adding a multivariate imputer in scikit-learn. Because of release time constraint, the development was moved into a specific branch (FIXME: give a specific name) see #11600.  - [ ] Decide good default for the IterativeImputer/ChaindedImputer (#11350). - [ ] ...",New Feature; Enhancement; help wanted,https://github.com/scikit-learn/scikit-learn/issues/11259
Enhancement,568390767,16498,2020-02-20T15:43:19Z,Add support pd.Na in preprocessing module,"#### Describe the bug [Starting from pandas 1.0, an experimental pd.NA value (singleton) is available to represent scalar missing values. At this moment, it is used in the nullable integer, boolean and dedicated string data types as the missing value indicator. ](https://pandas.pydata.org/pandas-doc...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/16498
Enhancement,95357911,4982,2015-07-16T05:58:10Z,Custom indices for Nystroem approximation and other kernel methods,"Hi,   It would be really helpful if one could use a priori chosen landmark points for the Nystroem approximation and other kernel methods. For example, in:  [kernel_approximation.py](https://github.com/scikit-learn/scikit-learn/blob/9d9e99a27e93ad4ebbc4de397a5b74b441cbec48/sklearn/kernel_approximati...",Enhancement; module:kernel_approximation,https://github.com/scikit-learn/scikit-learn/issues/4982
Enhancement,1161962,231,2011-07-04T12:42:33Z,Memory use of NeighborsClassifier on sparse matrices,"@pprett discovered that a `NeighborsClassifier` working on sparse data takes a disproportionately large amount of memory. The issue can be reproduced by running the document classification example on all categories; then kNN takes some 4GB of memory, which is 4x the size of its input.",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/231
Enhancement,17155038,2206,2013-07-24T13:03:26Z,Remove any astype() invocation when a copy is not required.,"I realized that in many places in the code, it was assumed that the astype() method copied data only if required, which is not the case: a copy is _always_ made, even if the array dtype doesn't change. This causes useless copies to be made in several places (one of them being all metrics functions) ...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/2206
Enhancement,2178498779,28609,2024-03-11T08:13:09Z,Print warning if user passed only one class into StratifiedKFold,"### Describe the workflow you want to enable  StratifiedKFold and other stratified splitters were designed to balance cross validation based on target or some features.  Currently, if you pass a column with only one class (which majority of times is a user mistake) there is no warning, and it works ...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/28609
Enhancement,168392825,7116,2016-07-29T19:06:32Z,Discussion of useful plotting,"In #6338 we discussed whether we want plotting code in sklearn. We decided that the answer is yes, and we add a plotting submodule. I think it would be good to discuss what functions to add.  Here are some that come to mind: - better 2d scatterplot (with legend) - I have that for my book - confusion...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/7116
Enhancement,16257088,2127,2013-07-02T10:15:25Z,"MultinomialNB, BernoulliNB coef_ inconsistency: shape is (nfeatures,) not (1,nfeatures)","I am trying to run your 20newsgroups code on my own data with a single class it bugs because in the ONE CLASS CASE all classifiers use coeff_.shape=(1,nfeatures) except multinomialNB and bernoullinb which have coef_.shape=(nfeatures,)  if hasattr(clf, 'coef_'):         print ""dimensionality: %d"" % c...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/2127
Enhancement,38255245,3452,2014-07-20T10:34:54Z,Add multi-label support to the confusion matrix metric,"Currently the `confusion_matrix` support binary and multi-class classification, but not multi-label data yet.",Easy; Enhancement,https://github.com/scikit-learn/scikit-learn/issues/3452
Enhancement,167671654,7087,2016-07-26T18:00:00Z,Biclustering n_components default,The `n_components` parameter of the biclustering classes is 3 by default. I think it should be `n_clusters` by default. @kemaleren wdyt?,Enhancement; module:cluster,https://github.com/scikit-learn/scikit-learn/issues/7087
Enhancement,8919648,1435,2012-12-02T12:40:07Z,Random Forest Performance,"Random Forest is a popular classification technique; recent benchmarks [1][2] have shown that performance of sklearn's RandomForestClassifier is inferior to competing software implementations.  The performance penalty most likely stems from the underlying tree building procedure, however, changes he...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/1435
Enhancement,219549255,8705,2017-04-05T11:16:50Z,LatentDirichletAllocation verbosity not very helpful by default,"LDA's verbosity for the online solver currently only makes sense if ""evaluate_every > 0"", which is not the default. If ``evaluate_every == 0`` we should at least print how far along we are in iterations and what max_iter is, given that we always run max_iter many iterations in that setting.",Easy; Enhancement,https://github.com/scikit-learn/scikit-learn/issues/8705
New Feature,417998852,13405,2019-03-06T20:39:39Z,correlation feature selection?,"I wonder whether we should add unsupervised feature selection using correlation. It's a strategy that's very common in statistics and might just have it for completeness. It's certainly more useful than the variance based one, which I think is useless for any threshold != 0.",New Feature; module:feature_selection,https://github.com/scikit-learn/scikit-learn/issues/13405
New Feature,7009600,1172,2012-09-20T11:51:44Z,Add Intersection kernel and chi2 kernel,"To the metrics module. One down (chi2), one to go.",New Feature; Moderate,https://github.com/scikit-learn/scikit-learn/issues/1172
New Feature,874932093,20034,2021-05-03T21:41:06Z,CategoricalNB : it needs to add proper treatment  for unseen values in validation data  (validation data has new values than train data ),#### Describe the workflow you want to enable  CategoricalNB : it needs to add proper treatment  for unseen values in validation data  (validation data has new values than train data ) to https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.CategoricalNB.html  meantime OrdinalEncode...,New Feature; module:naive_bayes,https://github.com/scikit-learn/scikit-learn/issues/20034
New Feature,775608903,19076,2020-12-28T22:18:47Z,"Outside functionality:  add a ""fitter"" generator as an alternative to ""fit"" method","<!-- If you want to propose a new algorithm, please refer first to the scikit-learn inclusion criterion: https://scikit-learn.org/stable/faq.html#what-are-the-inclusion-criteria-for-new-algorithms -->  #### Describe the workflow you want to enable  At the current time, Estimators has a ""fit"" method....",New Feature; API,https://github.com/scikit-learn/scikit-learn/issues/19076
New Feature,724613847,18642,2020-10-19T13:33:00Z,Feature request: Unify parameter names of MultiOutputRegressor and RegressorChain classes,"**Feature request**: Unifying the parameter names of `MultiOutputRegressor` and `RegressorChain` classes.  Currently, `MultiOutputRegressor` and `RegressorChain` classes use different name for the *underlying* base estimator. The `RegressorChain` uses the name `base_estimator` while the `MultiOutput...",New Feature,https://github.com/scikit-learn/scikit-learn/issues/18642
New Feature,568132270,16495,2020-02-20T08:29:18Z,Pass additional parameters to `inverse_transform` and `transform` in pipeline.,"<!-- If you want to propose a new algorithm, please refer first to the scikit-learn inclusion criterion: https://scikit-learn.org/stable/faq.html#what-are-the-inclusion-criteria-for-new-algorithms -->  #### Describe the workflow you want to enable  I would like to pass additional arguments to `inver...",New Feature; API,https://github.com/scikit-learn/scikit-learn/issues/16495
New Feature,322344408,11086,2018-05-11T15:44:38Z,Quantile Regression Forest [Feature request],"Hi, Scikit-learn owners and contributors,  I am wondering whether scikit-learn want to implement the quantile regression forest: http://www.jmlr.org/papers/volume7/meinshausen06a/meinshausen06a.pdf.   It is a quite highly cited paper, and already has an R package. https://cran.r-project.org/web/pack...",New Feature; module:ensemble,https://github.com/scikit-learn/scikit-learn/issues/11086
New Feature,2729717843,30452,2024-12-10T10:36:10Z,Multiple thresholds in FixedThresholdClassifier,"### Describe the workflow you want to enable  Currently FixedThresholdClassifier only allows for a unique threshold as a float. It would be nicer to be also able to accept a list of floats and that multiple classes would be produced accordingly.   ### Describe your proposed solution  Typically, defa...",New Feature,https://github.com/scikit-learn/scikit-learn/issues/30452
New Feature,218529136,8678,2017-03-31T15:03:02Z,TargetTransformer meta-estimator?,"A relatively common pattern is to change y according to some function for prediction, for example by using a logarithm in regression. Usually you want to measure the performance in the original space, so you need to transform y back before scoring. That's really easily done using a meta-estimator. I...",New Feature; Easy,https://github.com/scikit-learn/scikit-learn/issues/8678
New Feature,4092041818,33569,2026-03-18T01:02:14Z,Improve utils._indexing.py error messaging for missing columns,"### Describe the workflow you want to enable  The ColumnTransformer lets you pick a subset of columns to apply transformers to (or to keep or drop). I find this immensely useful in my day to day work, since it makes complex featurization pipelines a lot more maintainable.  One speedbump I keep runni...",New Feature,https://github.com/scikit-learn/scikit-learn/issues/33569
New Feature,1572687859,25552,2023-02-06T14:37:21Z,Implement beta calibration,### Describe the workflow you want to enable  It would be nice to implement beta calibration as an additional option in CalibratedClassifierCV.  ### Describe your proposed solution  Use the implementation provided in https://github.com/betacal/python (MIT license).  ### Describe alternatives you've ...,New Feature; module:calibration; Needs Decision - Include Feature,https://github.com/scikit-learn/scikit-learn/issues/25552
New Feature,11044262,1683,2013-02-15T17:19:03Z,Make GridSearchCV and cross_val_score work with multilabel data,When #1606 is merged we will have some multi-label metrics. I don't think they work with GridSearchCV out of the box. We should also consider adding a default metric as score function in the multi-class module.,New Feature,https://github.com/scikit-learn/scikit-learn/issues/1683
New Feature,10319901,1626,2013-01-25T17:48:54Z,API Proposal: Genearlized Cross-Validation and Early Stopping,This is a proposal to to resolve two API issues in sklearn: - Generalized Cross Validation - Early stopping ## Why should we care about that?  With **generalized cross validation** I mean finding the best setting of some parameter without refitting the entire model. This is currently implemented for...,New Feature; API,https://github.com/scikit-learn/scikit-learn/issues/1626
New Feature,267401220,9967,2017-10-21T17:59:43Z,Group Lasso and Sparse Group Lasso,These two methods are part of the conventional set of basic methods I think belong in a project like scikit-learn.   ### Group Lasso  - [Wikipedia](https://en.wikipedia.org/wiki/Lasso_(statistics)#Group_lasso) - [Original Paper](http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.366.4278&rep=r...,New Feature; module:linear_model; Needs Decision - Close,https://github.com/scikit-learn/scikit-learn/issues/9967
New Feature,715465803,18542,2020-10-06T08:38:25Z,Adding sequential Information Bottleneck (sIB),"Hi,  I'm Assaf from IBM Research. We recently open-sourced our new implementation of the clustering algorithm, sequential information Bottleneck (sIB), and I thought that it could be a useful addition to SciKit-Learn.   The repository is [this](https://github.com/IBM/sib) and a link to the academic ...",New Feature; module:cluster,https://github.com/scikit-learn/scikit-learn/issues/18542
New Feature,744948152,18854,2020-11-17T17:44:31Z,support GPML minimize for sklearn.gaussian_process.GaussianProcessRegressor,"<!-- If you want to propose a new algorithm, please refer first to the scikit-learn inclusion criterion: https://scikit-learn.org/stable/faq.html#what-are-the-inclusion-criteria-for-new-algorithms -->  #### Describe the workflow you want to enable  I'd like to add support for another internal optimi...",New Feature; module:gaussian_process,https://github.com/scikit-learn/scikit-learn/issues/18854
New Feature,2246476285,28850,2024-04-16T16:37:14Z,Make it possible to specify `monotonic_cst` with feature names in all tree-based estimators,"### Describe the workflow you want to enable  Instead of passing an array of monotonicity constraints (-1 for a decrease constraint, +1 for an increase constraint or 0 for no constraint) specified by feature positions in the training set, it would be more convenient to pass a dict to pass constraint...",New Feature; Needs Triage,https://github.com/scikit-learn/scikit-learn/issues/28850
New Feature,4685909466,34327,2026-06-17T18:13:48Z,Creating pipelines with default arguments for methods in steps,"> [!WARNING] > This issue is not yet ready for a PR. If you are interested in contributing to scikit-learn, please have a look at our [contributing guidelines](https://scikit-learn.org/dev/developers/contributing.html), and in particular the sections for [new contributors](https://scikit-learn.org/d...",New Feature; Needs Decision; Metadata Routing,https://github.com/scikit-learn/scikit-learn/issues/34327
New Feature,7617678,1242,2012-10-16T08:57:06Z,Meta-estimators for bagging and boosting,Just putting this on the long term wish list....,New Feature,https://github.com/scikit-learn/scikit-learn/issues/1242
New Feature,3064166756,31364,2025-05-14T20:10:20Z,Tfidf no genera los cluster correctos para oraciones con poco significado y palabras repetidas,"### Describe the workflow you want to enable  Dado el sigueinte csv: texto,categoria ""el gato el gato el gato el gato el gato"",""gato"" ""el perro el perro el perro el perro el perro"",""perro"" ""la casa la casa la casa la casa la casa"",""casa"" ""el avión el avión el avión el avión el avión"",""avión"" ""la pla...",New Feature; Needs Triage,https://github.com/scikit-learn/scikit-learn/issues/31364
New Feature,671832582,18067,2020-08-03T06:35:25Z,Support distributed computing for big data with sklearn.preprocessing.,#### Describe the workflow you want to enable sklearn.preprocessing provides many useful functions to preprocess the data for the following model training/prediction. But it's suitable for the data which can fit into one single process. It will be very useful that sklearn.preprocess can process the ...,New Feature,https://github.com/scikit-learn/scikit-learn/issues/18067
New Feature,1534505081,25405,2023-01-16T08:29:21Z,"Feature request: for GridSearchCV and RandomizedSearchCV, add a kwarg for a preprocessing step after CV splits have been made",### Describe the workflow you want to enable  See solution  ### Describe your proposed solution  Add a new kwarg to cross-validators such as GridSearchCV and RandomizedSearchCV that allows you to use preprocessing steps (such as scalers) on the train & test sets created during each cross validation ...,New Feature; Needs Triage,https://github.com/scikit-learn/scikit-learn/issues/25405
New Feature,718363354,18584,2020-10-09T19:06:37Z,Set `utils.extmath.randomized_svd` parameter `random_state` default value to `None`,"#### Describe the workflow you want to enable  As discussed in #18554, the current default value for the `random_state` parameter is `0`. This does not match the default value recommended in the [glossary](https://scikit-learn.org/stable/glossary.html#glossary-parameters).  With the current default,...",New Feature; Sprint; module:utils,https://github.com/scikit-learn/scikit-learn/issues/18584
New Feature,1718698093,26413,2023-05-22T00:31:05Z,Ability to specify depth of a decision tree,### Describe the workflow you want to enable  There is no parameter currently in decision tree package (both regression and classification) to specify the depth of a tree. There are parameters to limit the number of nodes (maximum nodes) and minimum number of leaves for each node but there is no par...,New Feature; Needs Triage,https://github.com/scikit-learn/scikit-learn/issues/26413
New Feature,4081663845,33554,2026-03-16T10:39:55Z,chi2 feature selection is symmetric and cannot measure directional predictive power for classification,"### Describe the workflow you want to enable  ### Describe the issue  `sklearn.feature_selection.chi2` is widely used with `SelectKBest` for  feature selection in classification. The documentation says it ""weeds out  the features that are the most likely to be independent of class and  therefore irr...",New Feature; Needs Decision - Include Feature,https://github.com/scikit-learn/scikit-learn/issues/33554
New Feature,886688351,20074,2021-05-11T09:46:02Z,Opening the mutual information computation API for arbitrary variable sets,"Mutual information regression has been implemented in `sklearn.feature_selection` and can compute mutual information between the main kinds of variables (discrete/discrete, continuous/discrete, continuous/continuous). However, the present API only to compute only the mutual information between some ...",New Feature,https://github.com/scikit-learn/scikit-learn/issues/20074
New Feature,2238392,442,2011-11-15T00:16:30Z,Add Gaussian kernel to mean shift clustering,"# Motivation  Currently the mean shift clustering uses a flat kernel.  While this is quick and simple, there are some disadvantages.  There is no guarantee that the center will be the densest part a flat kernel---it might be that the center is sparse and that a single kernel covers the centers of tw...",New Feature; module:cluster,https://github.com/scikit-learn/scikit-learn/issues/442
New Feature,597869288,16888,2020-04-10T12:43:21Z,Need additional argument to pass sample weights in _fit_and_score,"Hi,  In _fit_and_score method in sklearn/model_selection/_validation, I want to use sample weights to score train data ._fit_and_score calls  _score method of this file and that does not take sample weights as an additional argument.  I am not proficient in programming, wanted to know will there be ...",New Feature; module:model_selection,https://github.com/scikit-learn/scikit-learn/issues/16888
New Feature,1578626193,25578,2023-02-09T21:11:33Z,Support pandas nullable dtypes for scoring metrics ,"### Describe the workflow you want to enable  I would like to be able to pass data with the nullable pandas dtypes (`Int64`, `Float64`, and `boolean`) into sklearn metrics such as `matthews_corrcoef`, `accuracy_score`, and `f1_score` (and more) even if the data does not contain any nans. Currently, ...",New Feature; Needs Triage,https://github.com/scikit-learn/scikit-learn/issues/25578
New Feature,1082401434,21999,2021-12-16T16:24:11Z,Add the two-parameter variant of the Box-Cox method to sklearn.preprocessing.PowerTransformer,"### Describe the workflow you want to enable  Currently the sklearn.preprocessing.PowerTransforer implements the basic Box-Cox method, which has one parameter but only works for positive numbers. There also exists the two parameter variant of Box-Cox which can also be used for negative numbers.  ###...",New Feature; module:preprocessing; Needs Decision - Include Feature,https://github.com/scikit-learn/scikit-learn/issues/21999
New Feature,590430610,16807,2020-03-30T16:36:05Z,pipeline.get_feature_names(),"<!-- If you want to propose a new algorithm, please refer first to the scikit-learn inclusion criterion: https://scikit-learn.org/stable/faq.html#what-are-the-inclusion-criteria-for-new-algorithms -->  #### Describe the workflow you want to enable This is possibly a duplicate of #6424. I'd love to d...",New Feature,https://github.com/scikit-learn/scikit-learn/issues/16807
New Feature,709357647,18462,2020-09-25T23:51:53Z,make_ranking generated datasets function,"#### Describe the workflow you want to enable Hello, a `make_ranking` function would be useful to me, to generate data for input into a learning-to-rank estimator (e.g. LightGBM's [LGBMRanker).](https://lightgbm.readthedocs.io/en/latest/pythonapi/lightgbm.LGBMRanker.html) There are currently many `m...",New Feature; module:datasets,https://github.com/scikit-learn/scikit-learn/issues/18462
New Feature,1067449913,21838,2021-11-30T16:42:25Z,__sklearn_clone__ protocol proposal,"I propose a `__sk_clone__` method that `clone` calls (if the method exist). This way arbitrary objects can define how they want to be cloned.  This is similar to mechanism behind  `__sk_is_fitted__` + `check_is_fitted`.  ### Purpose  There are PR that run into issues with `clone`, and it would be ni...",New Feature; module:base,https://github.com/scikit-learn/scikit-learn/issues/21838
New Feature,266656954,9953,2017-10-18T22:03:33Z,Scatter Separability Criterion (SSC) for clustering algorithms,"I don't think I've seen references to the _Scatter Separability Criterion_ (SSC) metric anywhere yet - neither in the Issues section here, nor on the mailing list.  Has it been ever considered and if yes, what are the reasons it hasn't made its way into the _sklearn_ module yet? Would a potential PR...",New Feature; module:cluster,https://github.com/scikit-learn/scikit-learn/issues/9953
New Feature,1278203046,23709,2022-06-21T10:00:32Z,Enhance calibration plots,"### Describe the workflow you want to enable  I would like to enhance calibration plots by adding these new aspects: 1. Plot bins as vertical lines in the background. 2. Equal aspect on both axis to have a square figure and enable easier visual comparisons. 3. Changing xlabel from ""Mean predicted pr...",New Feature; module:calibration,https://github.com/scikit-learn/scikit-learn/issues/23709
New Feature,285332164,10391,2018-01-01T22:03:50Z,Would it make sense to add False Positive Rate as a metric?,"If that makes sense, I can create a pull. <!-- If your issue is a usage question, submit it here instead: - StackOverflow with the scikit-learn tag: http://stackoverflow.com/questions/tagged/scikit-learn - Mailing List: https://mail.python.org/mailman/listinfo/scikit-learn For more information, see ...",New Feature; Needs Decision - Close,https://github.com/scikit-learn/scikit-learn/issues/10391
